DATE,YMD,MJD,Source,Centre Freq,Log freq,Ott Flux density,Focus,HA,ZA,sec Z,X(Z),Dry Atmos transmission,Tamb,Humidity,PWV est,5GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys lcp,dTsys lcp,Tsys rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp
2012d360_00h08m47s,,56286,HYDRA A,4800,3.681,13.549,4.6289,-17.3,21.35,1.074,1.073,0.9995,288.71,78.2,20.88,0.00827,1.00892,Dicke Switc,6.3,6,57.12,1.399,58.92,0.402,-0.529,-0.518,-1.141,1,1.152,,,0.579,0.516,1.166,1.001,1.178,,,-0.522,-0.516,-1.035,1,1.044,,,0.525,0.459,0.983,1.002,0.993,,
2012d361_00h05m02s,,56287,HYDRA A,4800,3.681,13.549,4.5703,-17.3,21.32,1.073,1.073,0.9995,286.86,82.09,19.55,0.00812,1.00875,Dicke Switc,6.3,6,,,,,-0.48,-0.468,-1.018,1,1.027,,,0.521,0.458,1.008,1.001,1.019,,,-0.498,-0.479,-0.981,1,0.99,,,0.483,0.429,0.959,1.001,0.969,,
2012d362_00h07m37s,,56288,HYDRA A,4800,3.681,13.549,4.6094,-15.6,20.17,1.065,1.065,0.9995,289.45,82.09,22.93,0.00852,1.00911,Dicke Switc,6.3,6,52.67,0.558,58.83,0.453,-0.617,-0.443,-1.086,1.01,1.107,6.118,0.428,0.618,0.434,1.064,1.011,1.086,6.24,0.42,-0.602,-0.424,-1.012,1.011,1.032,6.563,0.399,0.568,0.387,0.961,1.013,0.983,6.892,0.38
2012d362_23h57m43s,,56288.99,HYDRA A,4800,3.681,13.549,4.6094,-17.1,21.22,1.073,1.072,0.9995,290.01,81.26,23.48,0.00858,1.00924,Dicke Switc,6.3,6,53.11,1.891,58.16,0.328,-0.529,-0.487,-1.091,1.001,1.102,6.147,0.426,0.562,0.468,1.061,1.003,1.074,6.308,0.415,-0.539,-0.486,-1.022,1.001,1.032,6.563,0.399,0.535,0.441,0.995,1.003,1.007,6.724,0.39
2012d363_23h53m33s,,56289.99,HYDRA A,4800,3.681,13.549,4.6191,-17.2,21.26,1.073,1.072,0.9995,292.13,81.07,26.65,0.00895,1.00965,Dicke Switc,6.3,6,56.22,1.963,58.63,0.443,-0.523,-0.48,-1.102,1.001,1.114,6.083,0.431,0.558,0.471,1.122,1.003,1.135,5.966,0.439,-0.521,-0.468,-1.015,1.001,1.026,6.606,0.397,0.512,0.422,1.006,1.003,1.019,6.645,0.394
2012d364_23h48m23s,,56290.99,HYDRA A,4800,3.681,13.549,4.6191,-17.5,21.49,1.075,1.074,0.9995,291.85,81.16,26.24,0.00891,1.00961,Dicke Switc,6.3,6,52.41,0.617,59.78,0.336,-0.521,-0.506,-1.087,1,1.097,6.173,0.424,0.558,0.49,1.069,1.002,1.081,6.267,0.418,-0.525,-0.504,-1.053,1,1.064,6.369,0.411,0.536,0.453,1.021,1.003,1.033,6.555,0.4
2012d365_23h48m27s,,56291.99,HYDRA A,4800,3.681,13.549,4.6191,-16.5,20.77,1.07,1.069,0.9995,290.93,78.11,23.88,0.00863,1.00926,Dicke Switc,6.3,6,52.5,0.606,,,-0.534,-0.5,-1.108,1,1.118,,,0.567,0.485,1.087,1.002,1.1,,,-0.577,-0.533,-1.129,1.001,1.14,,,0.566,0.488,1.085,1.002,1.097,,
2013d003_23h36m36s,,56295.98,HYDRA A,4800,3.681,13.549,4.6191,-15.5,20.09,1.065,1.064,0.9996,289.27,80.33,22.19,0.00843,1.00901,Dicke Switc,6.3,6,52.05,0.969,59.51,0.426,-0.489,-0.525,-1.078,1,1.089,6.223,0.421,0.514,0.514,1.051,1,1.061,6.387,0.41,-0.484,-0.55,-1.025,1.001,1.036,6.54,0.401,0.513,0.485,1.025,1,1.035,6.546,0.4
2013d004_23h38m22s,,56296.98,HYDRA A,4800,3.681,13.549,4.6094,-14.1,19.13,1.058,1.058,0.9996,290.1,76.73,22.3,0.00844,1.00897,Dicke Switc,6.3,6,51.88,1.112,60.33,0.396,-0.522,-0.511,-1.083,1,1.092,6.201,0.422,0.561,0.496,1.063,1.001,1.074,6.309,0.415,-0.523,-0.531,-1.034,1,1.043,6.493,0.403,0.527,0.442,0.991,1.003,1.003,6.755,0.388
2013d005_23h21m06s,,56297.97,HYDRA A,4800,3.681,13.549,4.6191,-17.4,21.44,1.074,1.074,0.9995,291.67,78.67,25.15,0.00878,1.00947,Dicke Switc,6.3,6,53.74,0.656,60.63,0.377,-0.54,-0.503,-1.119,1,1.13,5.996,0.437,0.58,0.498,1.086,1.002,1.099,6.165,0.425,-0.538,-0.496,-1.059,1.001,1.07,6.331,0.414,0.513,0.459,0.999,1.001,1.01,6.71,0.39
2013d006_23h21m09s,,56298.97,HYDRA A,4800,3.681,13.549,4.6191,-16.4,20.73,1.069,1.069,0.9995,289.27,81.81,22.6,0.00848,1.0091,Dicke Switc,6.3,6,55.58,1.511,60.72,0.508,-0.543,-0.54,-1.128,1,1.138,5.953,0.44,0.581,0.518,1.107,1.001,1.118,6.058,0.432,-0.542,-0.528,-1.044,1,1.053,6.433,0.407,0.528,0.476,1.009,1.001,1.019,6.649,0.394
